"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/26 5:34:22 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 5:47:03 PM GMT+1","No","I said no as my answer.","Maybe","Yes","Take it to someone to repair it.","Computer / laptop","Issues with sourcing replacement parts","No","Yes"
"2019/10/26 6:42:51 PM GMT+1","No","","No","No","Websites;Youtube/Online Video;manufacturer ","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Not interested in self repair","Yes","Yes"
"2019/10/26 6:42:55 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:02 PM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","No","No"
"2019/10/26 6:43:18 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:18 PM GMT+1","Sometimes","Not messing with plumbing ","Yes","Yes","Websites;Youtube/Online Video;Book","Television","Lack of access to appropriate tools","Yes","Yes"
"2019/10/26 6:43:26 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video;ask my brother ","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 6:43:36 PM GMT+1","Yes","","Maybe","Yes","Websites","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:45 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/26 6:43:56 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 6:44:02 PM GMT+1","No","","No","No","Youtube/Online Video","Computer / laptop","Lack of skill;Not interested in self repair","Yes","No"
"2019/10/26 6:44:02 PM GMT+1","Sometimes","Depends on how many times I have damaged an item before, for example, moible phones and headphones","Yes","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/26 6:44:04 PM GMT+1","Yes","","Maybe","Maybe","The store I got it at because I payed for Insurance","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","No","Yes"
"2019/10/26 6:45:00 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Television;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","No"
